Index,user,date,review,movie,polarity,sentiment
0,SAMTHEBESTEST,8 November 2020,"Pariyerum Perumal         Brief Review -Tamil Cinema BLESSED Socially Powerful Classic film. remember watching Nagraj Manjule's ""Fandry"" throwing stone many issues society ""Sairat"" stunning classification Honour Killing Casteism. reason mentioned two films not seen many filmmakers trying make cinema realiatic manners showcase brutal reality lower areas try stop somehow sending tight slap cinematic medium. Finally wait seems ended Pariyerum Perumal say Intermediate version two films yet finding complete originality credibility it's storyline. film heartbreaking disturbing concept causing anxiety towards lower cast people bear much humiliation torture afterall. A law student lower caste begins friendship classmate, girl belongs higher caste, men family start giving trouble over this. might seem highly repetitive concept but wait.. different problems, different conflicts, different issues different society deal please try finding something new somewhere hidden small small nuances. literally broke watching couple scenes scenes made jump seat. mean, connective subject common man unless belong evil tribe inhuman creatures. Acting, writing, cinematography, dialogues, background score, lyrics, direction overall presentation everything top class here. no complaints make except predictable positive climax generous. think could something stunning, sensational mind shattering final scene might left brain thinking over sometime. Rest, it's Top Quality Classic Tamil Cinema, yes industry make cheap films mainstream orientation.RATING -  /  *By - #samthebestest     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.02410579004329010,negative
1,KdosdaHegen,22 November 2020,"film part amazing. story motivating, but also fast paced full action. film beautiful shot, one best cinematography I've ever seen Indian film. music fits perfectly too. protagonist hand terrible. He many problems don't tell anybody it, gets wrongfully accused stuff not many times even almost gets murdered many times yet don't tell anyone, like come on, that's stupidity, not bravery.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.2708333333333330,positive
2,santhosh,25 January 2019,Excellent Movie. Kathir everybody acted well movie. Yogi Babu's comedy movie also excellent. Songs BGM movie also good. movie no boring scene. Some scenes sad. movie excellent message. One best movie     .     found helpful. Was review helpful? Sign vote. Permalink,Pariyerum Perumal,0.6714285714285720,positive
3,kamalbeeee,22 May 2021,First scene song make sit straight watch movie..A lawyer student protogonist love upper castegirl seeks horrible problems due caste..Great story screenplay dialogues songs bgm..Must watch kind peiole..!!     found helpful. Was review helpful? Sign vote. Permalink,Pariyerum Perumal,0.10892857142857100,positive
4,saru,5 October 2018,"went high expectations, although didn't keep up, not bad though. movie revolves around higher/lower caste discrimination,  -  intense scenes, which'll make think dirty guys plays cheap politics caste outfits. felt like continuation film  Uriyadi.      found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.10200000000000000,positive
5,Jithindurden,9 December 2018,"In paper, simple love story shows side caste-based honour killings happening India, but way presented mindblowing. film always looks grounded reality yet stylised songs, brilliantly shot hard-hitting point expository lyrics music makes feel power it, feels right rest film. way issue caste shown also much fluid manner defies preachiness. Above violence hopelessness shown film still tries end ray hope defining relationships talking want without constraints but ironic tone. last shot tea glasses perfect ending shows still left society, defines people's lives here. Caste-based love stories include honour killings come but way film deals every aspect story, characters technical side unique. For relatively simple storyline,  .  hours runtime wasn't even second felt overlong, fact, would loved see it.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.2565126050420170,positive
6,Azanspy,20 November 2018,Pariyerum Perumal good movie director gives good message caste systems parts Tamil Nadu. movie begins slow pace pick pace later outstanding climax scene. All cast done good job. Pariyerum Perumal worth watch.     found helpful. Was review helpful? Sign vote. Permalink,Pariyerum Perumal,0.3714285714285710,positive
7,beevenkat,7 October 2018,"hero law student belongs lower caste. He befriends heroine belongs higher caste n hell breaks loose. #PariyerumPerumal brilliantly executed scenes,  -when heros dog brutally killed,  -when higher caste man pisses unsuspecting hero,  -when heros father disrobed. These scenes stay u long u exit theater. Kudos actor #kathir n director #mariselvaraj creating masterpiece. Do watch it. Rating  . / .     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.17884615384615400,positive
8,ragingbull,8 August 2021,"Prima facie, IMDb summary, viewer may end believing see another _Sairat_, story intercaste love leading _honor killings_. But summary no justice this.It gavel designed bludgeon societal assumptions cannot do, basis place background belong to. war cry never let go dreams ideas.And contains vividly disturbing scenes recent times. These not especially gory. But, casual brutality people indulge in, name caste pride shown rawness meant shake insides, successfully does.I couldn't make original words but music songs , translation , bold thought provoking.It *number  * list Indian films IMDb. That may function fan boys ratings but truly special. seems auto biographical times would stun directness.The directors next, _Karnan_, even better.Very highly recommended.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.1454978354978360,positive
9,akhil,20 May 2020,"one favorite movies ever. It's well written, well directed actors complete justice roles. Pariyerum Perumal one Indian movies actually deserves rating got.Doesn't matter progressed are, can't escape past easy. Casteism cancer can't get rid of. And addresses transphobia well.I recommend everyone.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.15666666666666700,positive
10,dhavalpithwa,8 June 2021,Always Cast Dosen't Matter Nice movie Watch!.....     found helpful. Was review helpful? Sign vote. Permalink,Pariyerum Perumal,0.75,positive
11,eldreddsouza,28 May 2021,"film like this, one badly made, badly written one filled nonsensical scenes rating  . ? Yes film highlighting problem casteism rural India ver much prevalent even today. But can't deny screenplay quite poor. Overall it's badly made film serious subject. Filled unnecessary overdrawn sequences movie feels dragged. There many songs feel superfluous could easily done without.The first half decent good comedy scenes, mainly Yogi Babu. But ridiculous scenes makes hard take film seriously. couldn't care less characters many plot holes film, couldn't care them. Even ending film ridiculous, feel like could've watched better film instead overrated movie.Giving   hope bringing ratings film  .  seems utterly ridiculous. Thoroughly disappointed one.      found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,-0.06755952380952380,negative
12,sudhakaranakhilan,1 November 2018,"finished off mood paranoid not able get condition time. Really disturbing tale young guy Perumal went along till got spotted black coffee tea. Yes course color something echoing sense two margins society, way people's approach word class discrimination. fueled banged something important issue flavoured way dramatic personification. Not Perumal but also Karuppi, Perumal's father, landscape, music everything haunts surrounds vaguely vividly every aspect film. went across incidents happening around society witnessed directly indirectly but Perumal shown accurate representation went back history. It's outstanding point making executing something strong subject mixed swirled brilliantly projected audience. Pariyerum Perumal stay might disturb time, that's sure.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.12135416666666700,positive
13,postsenthil,27 October 2019,"Message movies dime dozen regularly run risk skewed towards former extent superimpose even drown latter. In hands inept amateurs even overly zealous veterans evangelist mode, tend become preachy best quite often, end cringe-worthy. Consequently, message movie could well called oxymoron.Seen light, debutante director Mari Selvaraj's maiden effort comes whiff fresh breeze is, indeed, extraordinary achievement. slice life drama, set southern Tamil Nadu, story protagonist - Pariyerum Perumal  Kadhir  - poor law college student oppressed caste trying find place sun equal. And . . prism life story, director surveys spectrum class well caste divides many minor, yet finer nuances.Mari holds mirror contemporary society finds rich shades even looks like staid stereotypes. Look, instance, Perumal's connection father, compulsions Jo's  Anandhi  father, characterisation college principal even Yogi Babu Anandhi who, despite coming upper class, different takes milieu compared counterparts which, turn, defines individual connection Perumal. Mari maintains meticulous focus narrative even layered writing ensures smallest characters imbued sufficient texture make feel real moments fit seamlessly story arc.Kadhir excellent Perumal gets skin character explore insecurities identity, humiliation, helplessness, simmering rage well quiet determination. Anandhi, Yogi Babu, Marimuthu rest supporting cast turn credible performances well. Mari also complemented well Santhosh Narayanan infuses life unique songs well background score. cinematography Sridhar captures locales natural flair without flashy adds urgency action sequences.The craft Mari Selvaraj display superlative even surpasses mentor - director Pa. Ranjit - producer here. His narrative gift natural flow courses mundane gut wrenching subtle layers without making anything look forced. manner created shocker initial sequence well evocative finale, one best seen recent times narrative journey bear testimony that, despite debutante, Mari consummate creator, confident craft.Kudos plaudits richly deserved duo Pa. Ranjit - mentor - well Mari Selvaraj - prodigy - surpasses mentor making movie debut efforts - producer director, respectively - anything go by, look forward meaningful fare movies.     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.1823170731707320,positive
14,cinish,16 November 2018,"two weeks since watched movie movie stayed ever since. Too honest bold deny. movie addresses caste. shocking meaningless biases superiority/inferiority based caste rather substance cannot swept mind's carpet nuisance predicament not responsible either ways. You get killed.I watched movie clean slate without knowing movie about. shocking realistic murders presented kept questions list answered plot movie unfolds. However, soon realized carried not serial killer but honor killer. much disconcerting.The movie makes it's marks through. Starts off sharp indicative prologue. As titles come on, first song strikes - karuppi. A rap strong visuals. Music Santhosh Narayanan pure genius. As right now, songs ""Naan Yaar"", ""Rayil vida polama"" ""Karuppi"" stand strong pillars, addressing core subject caste bias wholesome manner. ""Naan yaar"" speaks angst lower caste - asking painful honest questions is. ""Rayil vida polama"" innocent love young girl feels lower caste boy not yet understand caste bias. She victim too.Kathir done brilliant job main protagonist movie. urge rise big hopeful dreams pain disorientation struck biases come brilliantly.Karuppi, dog used symbol nicely. fact movie bold honest good enough. Over that, Maari Selvaraj blended pure art form songs karuppi take experience next level. movie not end answer. ends question rightfully so. What fix mindset help answer?     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.15096726190476200,positive
15,drhajermohdd,1 January 2019,"drama movie taken ,But first scene matched John wick   dog  .And introduction villain super     found helpful. Was review helpful? Sign vote. Permalink",Pariyerum Perumal,0.29166666666666700,positive
